TID,EN,DE,ES,FR,IT,NL,NO,PT,TR,DA,SV,ID,RU,CH,CHT,JP,FI,KR,AR,MS,VI,
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,
TID_DECO_MEDITERRANEAN_SPOUTER,Mediterranean spout,فوهة البحر المتوسط,地中海流水池,地中海水池,Middelhavsspire,Mediterraner Wasserspeier,Fuente de pared mediterránea,Välimerellinen allas,Fontaine murale méditerranéenne,Pancuran Mediterania,Fontanella mediterranea,地中海の水飲み場,지중해풍 수돗가,Pancutan Mediterranean,Mediterrane tuit,Vannkaster fra Middelhavet,Bebedouro mediterrâneo,Средиземноморский фонтанчик,Medelhavsmaskaron,กำแพงน้ำตกสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı çeşme,Vòi nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_WELL,Mediterranean well,بئر البحر المتوسط,地中海水井,地中海水井,Middelhavsbrønd,Mediterraner Brunnen,Bebedero mediterráneo,Välimerellinen kaivo,Source méditerranéenne,Kolam Mediterania,Pozzo mediterraneo,地中海の井戸,지중해풍 우물,Perigi Mediterranean,Mediterrane waterput,Brønn fra Middelhavet,Poço mediterrâneo,Средиземноморская колонка,Medelhavsbrunn,บ่อน้ำสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı kuyu,Giếng nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_WATERMILL,Mediterranean watermill,طاحونة البحر المتوسط المائية,地中海水磨,地中海水車,Middelhavs-vandmølle,Mediterrane Wassermühle,Molino de agua mediterráneo,Välimerellinen mylly,Moulin à eau méditerranéen,Kincir air Mediterania,Mulino mediterraneo,地中海の水車,지중해풍 물레방아,Kuncir air Mediterranean,Mediterrane watermolen,Vannmølle fra Middelhavet,Moinho mediterrâneo,Водяная мельница,Medelhavsvattenkvarn,กังหันน้ำสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı su değirmeni,Cối xay nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_FOUNTAIN,Mediterranean fountain,ينبوع البحر المتوسط,地中海喷泉,地中海噴泉,Middelhavs-springvand,Mediterraner Springbrunnen,Fuente mediterránea,Välimerellinen lähde,Fontaine méditerranéenne,Air Mancur Mediterania,Fontana mediterranea,地中海の噴水,지중해풍 분수,Air pancut Mediterranean,Mediterrane fontein,Fontene fra Middelhavet,Fonte mediterrânea,Средиземноморский фонтан,Medelhavsfontän,น้ำพุสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı fıskiye,Đài phun nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_SPA,Mediterranean spa,منتجع البحر المتوسط,地中海水疗池,地中海水療池,Middelhavs-spa,Mediterrane Therme,Estanque mediterráneo,Välimerellinen kylpy,Spa méditerranéen,Spa Mediterania,Terme mediterranee,地中海の浴場,지중해풍 스파,Spa Mediterranean,Mediterraans kuuroord,Spa fra Middelhavet,Spa mediterrâneo,Средиземноморская купальня,Medelhavsspa,สปาสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı spa,Spa phong cách Địa Trung Hải
TID_DECO_GARDENING_WORKSPACE,Gardening workbench,طاولة الزراعة,园艺工作台,園藝工作台,Havearbejdsbænk,Gartenwerkbank,Banco de jardinería,Puutarhan työpöytä,Station de jardinage,Sudut berkebun,Banco del giardiniere,庭仕事の作業台,원예 작업대,Meja kerja berkebun,Tuinierswerkbank,Arbeidsbenk i hagen,Balcão de jardinagem,Рабочее место садовника,Trädgårdsarbetsbänk,มุมทำสวน,Bahçıvan tezgahı,Bàn làm vườn
TID_DECO_SAMURAI_HELMET,Samurai helmet,خوذة الساموراي,武士兜,武士兜,Samurai-hjelm,Samurai-Helm,Casco de samurái,Samuraikypärä,Casque de samouraï,Helm samurai,Elmo da samurai,武士の兜,사무라이 헬멧,Ketopong samurai,Samuraihelm,Samuraihjelm,Capacete de samurai,Самурайский шлем,Samurajhjälm,หมวกซามูไร,Samuray miğferi,Mũ giáp samurai
TID_DECO_FESTIVAL_BUS,Festival bus,حافلة المهرجان,狂欢巴士,狂歡巴士,Festivalbus,Festivalbus,Autobús de festival,Juhlabussi,Bus de festival,Bus festival,Bus della festa,お祭りのバス,축제 버스,Bas pesta,Festivalbus,Festivalbuss,Ônibus do festival,Фестивальный автобус,Festivalbuss,รถบัสงานฉลอง,Festival arabası,Xe buýt lễ hội
TID_DECO_WISTERIA_BRIDGE,Wisteria bridge,جسر الوستاريا,紫藤拱桥,紫藤拱橋,Wisteria-bro,Blauregenbrücke,Puente de glicinia,Sinisadesilta,Pont de glycine,Jembatan wisteria,Ponte dei glicini,藤の咲く橋,위스테리아 다리,Jambatan wisteria,Wisteriabrug,Blåregnbro,Ponte de glicínias,Мостик с глицинией,Blåregnsbro,สะพานดอกวิสทีเรีย,Morsalkımlı köprü,Cầu hoa tử đằng
TID_DECO_JOYFUL_STROLLERS,Serene stroll,نزهة هادئة,闲庭信步,閒庭信步,Afslappet gåtur,Heitere Spaziergänger,Paseo de la serenidad,Seesteinen kävely,Promenade relaxante,Wisata santai,Passanti agghindati,お散歩日和,평온한 산책,Tempat siar tenang,Serene wandeling,Fredelig spasertur,Passeio sereno,Безмятежная прогулка,Lugn promenad,กินลมชมวิว,Dingin yürüyüş,Thong thả tản bộ
TID_DECO_FLOWER_SHRINE,Flower shrine,ضريح بزهور,花之神龛,花之神龕,Blomstertempel,Blumenschrein,Templo de las flores,Kukkapyhäkkö,Sanctuaire fleuri,Kuil bunga,Tempio dei fiori,花の神社,꽃 신사,Kuil bunga,Bloemenaltaar,Blomsterhelligdom,Templo de flores,Цветочное святилище,Blomsterhelgedom,ศาลเจ้าดอกไม้,Çiçekli tapınak,Ngôi đền hoa
TID_DECO_FISH_KITE,Fish kites,طائرات ورق بشكل سمكة,鲤鱼旗,鯉魚旗,Fiskedrager,Fischdrachen,Koinobori,Kalaleijat,Serpentins de carpes,Layangan ikan,Aquiloni delle carpe koi,鯉のぼり,물고기 연,Layang-layang ikan,Visvliegers,Fiskedraker,Birutas de carpa,Воздушные рыбы,Fiskdrakar,ธงปลาคาร์ฟ,Balık uçurtmalar,Những con diều hình cá
TID_DECO_KOTO_DRUMMER,Taiko drummer,قارع طبول التايكو,太鼓鼓手,太鼓鼓手,Taiko-trommer,Taiko-Trommler,Tamborilero de taiko,Taiko-rumpali,Joueur de taiko,Penggebuk taiko,Suonatore di taiko,太鼓奏者,태고 북 연주자,Pemain dram taiko,Taikodrummer,Taikotrommis,Porco no taiko,Свинья с барабаном тайко,Taikotrummare,นักตีกลองไทโกะ,Taiko davulcusu,Tay trống taiko
TID_DECO_WISH_BOARD,Wish plaques,لوحة الأماني,祈愿木牌,祈願木牌,Ønske-platte,Wunschtafeln,Tablillas de deseos,Toivelaatat,Tablettes à vœux,Papan harapan,Bacheca delle ema,絵馬の奉納所,소원 명패,Plak hajat,Wensplaatjes,Ønskebrikker,Placas de orações,Доска с пожеланиями,Önskeplaketter,แผ่นไม้ขอพร,Dilek tahtası,Bảng ghi điều ước
TID_DECO_KOI_FENCE,Koi fish fence,سياج أسماك الكوي,锦鲤栅栏,錦鯉柵欄,Karpehegn,Koi-Karpfen-Zaun,Valla de carpas koi,Koikarppiaita,Clôture carpes koï,Pagar ikan koi,Recinto di carpe koi,鯉のフェンス,비단 잉어 울타리,Pagar ikan koi,Koikarperhek,Koifisk-gjerde,Cerca de carpas,Ограда с карпами кои,Koifiskstaket,รั้วปลาคาร์ฟ,Koi balıklı çit,Hàng rào cá Koi
TID_DECO_FISH_PATH,Fish tile,رقعة الأسماك,锦鲤地砖,錦鯉地磚,Fiskeflise,Fischkachel,Embaldosado de peces,Kalalaatta,Dalles carpes koï,Ubin ikan,Sentiero delle carpe koi,魚のタイル,물고기 타일,Jubin ikan,Vistegel,Fiskeflis,Azulejos de carpas,Плитка с карпами кои,Fiskplatta,กระเบื้องปลาคาร์ฟ,Balıklı karo,Ô gạch hình cá
TID_DECO_MIXED_FLOWERS,Mixed flowerbed,فراش زهور مختلطة,混栽花圃,混栽花圃,Blandet blomsterbed,Gemischtes Blumenbeet,Parterre multicolor,Värikäs kukkapenkki,Parterre de fleurs colorées,Pot bunga,Aiuola variegata,色とりどりの花壇,혼합 식재 화단,Batas bunga bercampur,Gemengd bloembed,Blandet blomsterbed,Canteiro florido,Клумба с цветами,Blandad blomsterbädd,แปลงดอกไม้หลากพันธุ์,Karışık çiçekler,Bồn hoa đủ loại
TID_DECO_HUMMINGBIRD_FEEDER,Hummingbird feeder,مُلقم الطيور الطنّانة,蜂鸟喂食器,蜂鳥餵食器,Kolibri-foderkasse,Kolibri-Futterstation,Comedero para colibrís,Kolibrikeidas,Mangeoire à colibris,Pakan burung,Mangiatoia per colibrì,ハチドリのエサ台,벌새 모이통,Tapakan burung madu,Kolibrievoederhuisje,Kolibrimater,Bebedouro de beija-flor,Кормушка для колибри,Kolibrimatare,ที่ใส่อาหารนกฮัมมิงเบิร์ด,Sinek kuşu yemliği,Máng ăn cho chim ruồi
TID_DECO_STONEMASONS_PATH,Masonry tile,رقعة حجارة البناء,石头地砖,石頭地磚,Murværk-flise,Steinmetzkachel,Embaldosado de mampostería,Muurarin laatta,Dalle en pierre,Ubin batu,Sentiero dello scalpellino,石工のタイル,석조 타일,Jubin batu,Stenen tegel,Murverkflis,Pavimento de pedra,Каменная плитка,Murverksplatta,กระเบื้องอิฐ,Taş işi karo,Ô gạch bằng đá
TID_DECO_SPRING_BUTTERFLY,Spring butterfly,فراشة الربيع,春日蝴蝶,春日蝴蝶,Forårssommerfugl,Frühlingsschmetterling,Mariposa primaveral,Keväinen perhonen,Papillon printanier,Kupu-kupu musim semi,Farfalla primaverile,春のチョウ,봄 나비 장식,Rama-rama musim bunga,Lentevlinder,Vårsommerfugl,Borboleta primaveril,Медовая бабочка,Vårfjäril,ผีเสื้อฤดูใบไม้ผลิ,Bahar kelebeği,Bươm bướm mùa xuân
TID_DECO_SPRING_CATERPILLAR,Spring caterpillar,يسروع الربيع,春日毛毛虫,春日毛毛蟲,Forårslarve,Frühlingsraupe,Oruga primaveral,Keväinen toukka,Chenille printanière,Ulat musim semi,Bruco primaverile,春のイモ虫,봄 캐터필러 장식,Ulat bulu musim bunga,Lenterups,Vårkålorm,Lagarta primaveril,Цветочная гусеница,Vårlarv,หนอนบุ้งฤดูใบไม้ผลิ,Bahar tırtılı,Chú sâu mùa xuân
TID_DECO_SPRING_CATS,Spring cats,قطط الربيع,春日猫猫,春日貓貓,Forårskat,Frühlingskatzen,Gatos primaverales,Keväiset kissat,Chats printaniers,Kucing musim semi,Gatti primaverili,春のネコ,봄 고양이,Kucing musim bunga,Lentekatten,Vårkatter,Gatos primaveris,Кошачий пикник,Vårkatter,แมวฤดูใบไม้ผลิ,Bahar kedileri,Những chú mèo mùa xuân
TID_DECO_HONEYCOMB_PATH,Honeycomb tile,رقعة قرص شمع العسل,蜂窝地砖,蜂窩地磚,Bikage-flise,Honigwabenkachel,Embaldosado de panal,Hunajakennolaatta,Dalle rayon de miel,Ubin sarang lebah,Sentiero a nido d'ape,巣蜜のタイル,벌집 타일,Jubin indung madu,Honingraattegel,Bikakeflis,Pavimento de colmeia,Медовая плитка,Honungskakplatta,กระเบื้องรวงผึ้ง,Bal peteği karo,Ô gạch hình tổ ong
TID_DECO_GARDENER_GNOME,Gardener gnome,نوم البستانيّ,园丁地精,園丁地精,Gartnernisse,Gärtnerzwerg,Gnomo jardinero,Puutarhuritonttu,Nain jardinier,Kurcaci taman,Gnomo giardiniere,庭仕事ノーム,정원사 요정,Gnome pekebun,Tuinierkabouter,Gartnernisse,Gnomo jardineiro,Гном-садовник,Trädgårdsmästartomte,โนมนักทำสวน,Bahçıvan cüce,Thần lùn làm vườn
TID_DECO_GARDENERS_SHED,Garden shed,سقيفة الحديقة,花园工具房,花園工具房,Haveskur,Gartenschuppen,Cobertizo de jardín,Puutarhan vaja,Cabane de jardin,Gubuk taman,Capanno del giardiniere,庭用の小屋,정원 창고,Dangau taman,Tuinschuur,Hageskur,Paiol de jardim,Садовый сарай,Trädgårdsskjul,เพิงเก็บอุปกรณ์ทำสวน,Bahçıvan kulübesi,Nhà kho trong vườn
TID_DECO_GARDENERS_PERGOLA,Garden pergola,عريشة الحديقة,花园藤架,花園藤架,Havepergola,Gartenpergola,Pérgola de jardín,Puutarhan pergola,Pergola de jardin,Pergola taman,Pergola del giardiniere,庭用のパーゴラ,정원 그늘막 정자,Pergola taman,Tuinpergola,Hagepergola,Pérgula de jardim,Цветочная пергола,Trädgårdspergola,ซุ้มไม้เลื้อยของนักทำสวน,Bahçe kameriyesi,Giàn dây leo trong vườn
TID_DECO_TULIP_PATCH,Tulip patch,رقعة التوليب,郁金香丛,鬱金香叢,Tulipanopdatering,Tulpenbeet,Tulipanes,Tulppaanit,Parterre de tulipes,Petak tulip,Campetto di tulipani,チューリップの花,튤립 밭,Tampalan tulip,Tulpenveldje,Tulipanflekk,Tufo de tulipas,Дикие тюльпаны,Tulpanbädd,แปลงดอกทิวลิป,Laleler,Lối đi hoa tulip
TID_DECO_GREENHOUSE,Greenhouse,الدفيئة,花园温室,花園溫室,Drivhus,Gewächshaus,Invernadero,Kasvihuone,Serre aux papillons,Rumah hijau,Serra,温室,온실,Rumah tanaman,Serre,Drivhus,Estufa,Теплица,Växthus,เรือนกระจก,Sera,Nhà kính
TID_DECO_VINE_TRELLIS,Vine trellis,تعريشة أوراق العنب,爬藤网格架,爬藤網格架,Slyngplante med tremmeværk,Rankgerüst,Celosía con enredaderas,Köynnösaita,Clôture bucolique,Teralis akar,Graticci con rampicanti,ツタのフェンス,덩굴 격자 울타리,Junjung pokok menjalar,Begroeid latwerk,Espalier,Treliça de vinhas,Трельяж с виноградной лозой,Staket med vinrankor,กำแพงโครงไม้เลื้อย,Sarmaşık çit,Lưới mắt cáo có dây leo
TID_DECO_LEAD_SINGER,Lead singer,المغني الرئيسي,实力主唱,樂團主唱,Forsanger,Frontsänger,Cantante principal,Solistit,Chanteur principal,Vokalis,Frontman,メインボーカル,리드 보컬리스트,Penyanyi utama,Leadzanger,Vokalist,Cantando de galo,Вокалист,Huvudsångare,นักร้องนำ,Solist,Ca sĩ chính
TID_DECO_BAND_POSTER,Band poster,ملصق فرقة موسيقية,乐队海报,樂團海報,Bandplakat,Bandposter,Póster de grupo,Bändijuliste,Affiche du groupe,Poster band,Poster della band,バンドのポスター,밴드 포스터,Poster pancaragam,Bandposter,Bandplakat,Pôster da banda,Плакат группы,Bandaffisch,โปสเตอร์วงดนตรี,Grup posteri,Poster ban nhạc
TID_DECO_GUITARIST,Guitarist,لاعب جيتار,吉他手,吉他手,Guitarist,Gitarrist,Guitarrista,Kitaristi,Guitariste,Gitaris,Beeessista,ギター奏者,기타리스트,Pemain gitar,Gitarist,Gitarist,Guitarrista,Гитарист,Gitarrist,มือกีตาร์,Gitarist,Tay guitar
TID_DECO_IDOLS,Music idols,عظماء الموسيقى,偶像歌手,偶像歌手,Musikidoler,Musikidole,Ídolos musicales,Tosifanit,Têtes d'affiche,Idola musik,Divi della musica,憧れのロックスター,음악의 아이콘,Idola muzik,Muziekidolen,Musikkidoler,Celebridades,Музыкальные легенды,Musikidoler,นักร้องร็อคสตาร์,Müzik idolleri,Thần tượng âm nhạc
TID_DECO_DO_THE_TWIST,Rock dancers,راقصو الروك,摇滚舞者,搖滾舞者,Rockdansere,Rocktänzer,Bailarines de rock,Rock-tanssijat,Danseurs de rock,Penari rock,Ballerini rock,ツイストダンサー,로큰롤 댄서,Penari rock,Rockdansers,Rockedansere,Rock na pista,Рок-н-ролльщики,Rockdansare,นักเต้นขาร็อค,Rock'n roll dansçıları,Vũ công nhạc rock
TID_DECO_DRUMMER,Drummer,قارع الطبول,架子鼓鼓手,樂團鼓手,Trommeslager,Schlagzeuger,Batería,Rumpali,Batteur,Penggebuk drum,Batterista,ドラマー,드러머,Pemain dram,Drummer,Trommis,Batera,Барабанщик,Trummis,มือกลอง,Davulcu,Tay trống
TID_DECO_CHECKERED_PATH,Checkered tile,رقعة تربيعية,格子地砖,格子地磚,Ternet flise,Karierte Kachel,Embaldosado a cuadros,Ruudullinen laatta,Dalle à carreaux,Ubin kotak-kotak,Sentiero a scacchi,チェックタイル,체크무늬 타일,Jubin corak dam,Geruite tegel,Ruteflis,Piso quadriculado,Шахматная плитка,Schackrutig platta,กระเบื้องลายตารางหมากรุก,Damalı karo,Ô gạch ca rô
TID_ANIMAL_ACCESSORY_HAT_ROCKNROLL_WIG,Rockabilly wig,شعر الروك المستعار,乡村摇滚假发,鄉村搖滾假髮,Rockabilly-paryk,Rockabilly-Perücke,Peluca pin-up,Rockabillyperuukki,Perruque Fifties,Wig Rockabilly,Acconciatura da pin-up,ロカビリーのカツラ,로커빌리 가발,Wig Rockabilly,Rockabilly-pruik,Rockabilly-parykk,Peruca retrô,Парик стиляги,Rockabillyperuk,วิกชาวร็อค,Rockabilly Peruğu,Tóc giả phong cách Rockabilly
TID_ANIMAL_ACCESSORY_HAT_SQUAD_WIZARD,Wizard hat,قبعة الساحر,巫师帽,巫師帽,Magikerhat,Zauberhut,Sombrero de bruja,Velhon hattu,Chapeau de sorcier,Topi Penyihir,Cappello da strega,魔法使いの帽子,마법사 모자,Topi Ahli Sihir,Tovenaarshoed,Trollmannshatt,Chapéu de mago,Шляпа волшебника,Trollkarlshatt,หมวกพ่อมด,Büyücü Şapkası,Mũ pháp sư
TID_DECO_SQUAD_COLLABORATION,Super Greg Statue,تمثال غريغ الخارق,超级格雷格雕像,超級格雷格雕像,Statue af Super-Greg,Statue \qSuper Greg\q,Estatua de Supergreg,Super-Greg-patsas,Statue Super Greg,Patung Greg Super,Statua di Super Greg,スーパーグレッグの像,슈퍼 그렉 조각상,Tugu Greg Super,Super-Greg-standbeeld,Super statue av Gregor,Estátua do Super Greg,Статуя супер-Грега,Super-Greg-staty,รูปปั้นซูเปอร์เกร็ก,Süper Greg Heykeli,Bức tượng Greg tuyệt đẹp
TID_ANIMAL_ACCESSORY_HAT_GOLDENWEEK_FLOWER,Flower hat,قبعة زهور,鲜花斗笠,鮮花斗笠,Blomsterhat,Blumenhut,Sombrero de flores,Kukkahattu,Chapeau fleuri,Topi bunga,Cappello fiorito,花の帽子,꽃 모자,Topi bunga,Bloemenhoed,Blomsterhatt,Chapéu de flor,Цветочная шляпа,Blomhatt,หมวกประดับดอกไม้,Çiçekli şapka,Mũ hoa
TID_BIRTHDAY_EVENT_INFO_STEP4,Collect points and win leaderboard rewards,اجمع النقاط واربح جوائز لوحة الصدارة,收集积分，赢取排行榜奖励,收集積分，獲取排行榜獎勵,Indsaml point og vind ranglistebelønninger,Sammle Punkte und gewinne Rangbelohnungen.,Consigue puntos y gana recompensas de clasificación.,Kerää pisteitä ja ansaitse pistetaulukon palkintoja!,Récupérez des points et gagnez des récompenses de classement,Kumpulkan poin dan menangkan hadiah Papan Peringkat,Accumula punti e vinci i premi della classifica.,ポイントを集めてランキング報酬を獲得しましょう,포인트를 모으고 순위표 보상을 획득하세요.,Kumpul mata dan meraih ganjaran papan pendahulu,Verzamel punten en win klassementsbeloningen.,Samle poeng og vinn belønninger,Colete pontos e ganhe recompensas por posição.,Получай награды за место,Samla poäng och vinn rankningsbelöningar,สะสมแต้มและชิงรางวัลกระดานผู้นำ,Puan topla ve liderlik tablosu ödülleri kazan.,Thu thập điểm và giành lấy phần thưởng bảng xếp hạng
TID_BOOSTER_MORE_CASH,More Coins,مزيد من العملات,获取额外金币加速器,獲取額外金幣加速器,Flere mønter,Mehr Münzen,Más monedas,Lisää kolikoita,Plus de pièces,Lebih Banyak Koin,Più monete,コイン増量,더 많은 코인,Lebih syiling,Meer munten,Flere mynter,Mais moedas,Увеличение количества монет,Fler mynt,เหรียญเพิ่มขึ้น,Daha Fazla Altın,Nhận thêm Xu
TID_DECO_FLOWER_TILE,Flower tile,رقعة الزهور,鲜花地砖,鮮花地磚,Blomsterflise,Blumenkachel,Embaldosado floral,Kukkalaatta,Dalle fleurie,Ubin bunga,Sentiero floreale,花のタイル,꽃무늬 타일,Jubin bunga,Bloementegel,Blomsterflis,Piso de flores,Цветочная плитка,Blomplatta,กระเบื้องดอกไม้,Çiçekli döşeme,Ô gạch hoa
TID_ESSENTIALS_OIL_LAB,Essential Oils Lab,معمل الزيوت العطرية,精油研究室,精油研究室,Olielaboratorie,Öllabor,Fábrica de aceites esenciales,Öljysekoittamo,Labo d'huiles essentielles,Lab Minyak Asiri,Laboratorio di oli essenziali,精油メーカー,정유 실험실,Makmal Minyak Pati,Aromalab,Eterisk olje-laboratorium,Laboratório de óleos essenciais,Лаборатория масел,Essensoljelabb,แล็บน้ำมันหอมระเหย,Esansiyel Yağ Laboratuvarı,Phòng điều chế tinh dầu
TID_REINDEER_CALF2,Gray reindeer calf,صغير آيل رمادي,灰色小驯鹿,灰色小馴鹿,Grå rensdyrkalv,Graues Rentierkalb,Cría de reno gris,Harmaa poronvasa,Bébé renne gris,Anak rusa kutub abu-abu,Cucciolo di renna grigia,灰色のトナカイの子,회색 아기 순록,Anak rusa kutub kelabu,Grijs rendierjong,Grå reinsdyrkalv,Filhote de rena cinza,Серый олененок,Grå renkalv,ลูกกวางเรนเดียร์สีเทา,Gri yavru ren geyiği,Tuần lộc con màu xám
TID_DECO_OLYMPIC_METALISTS,Classical medalists,فائزون كلاسيكيون,古典奖牌得主,古典獎牌得主,Klassiske medaljetagere,Klassische Medaillengewinner,Medallas clásicas,Antiikin mitalistit,Médaillés classiques,Medalis klasik,Atleti dell'antica Grecia,古代のメダリスト,고대 그리스 로마 메달리스트,Pemenang medal klasik,Klassieke medaillewinnaars,Klassiske medaljevinnere,Medalhistas clássicos,Олимпийские медалисты,Klassiska medaljörer,นักกีฬาเจ้าเหรียญยุคคลาสสิก,Klasik madalya kazananlar,Nhà vô địch cổ điển
